,name,description,rating,best_rating,rating_count,genre,for_family,producer,director,country,time,date
0,Зеленая миля,"Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.",9.069,10.0,820173.0,"['драма', 'фэнтези', 'криминал']",True,Фрэнк Дарабонт,Фрэнк Дарабонт,['США'],189,1999
1,Список Шиндлера,"История немецкого промышленника, спасшего тысячи жизней во время Холокоста. Драма Стивена Спилберга. Смотрите онлайн на Кинопоиске.",8.839,10.0,454180.0,"['драма', 'биография', 'история', 'военный']",True,Ирвинг Гловин,Стивен Спилберг,['США'],195,1993
2,Побег из Шоушенка,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.",9.108,10.0,868892.0,['драма'],True,Лиз Глоцер,Фрэнк Дарабонт,['США'],142,1994
3,Форрест Гамп,Полувековая история США глазами чудака из Алабамы. Абсолютная классика Роберта Земекиса с Томом Хэнксом. Смотрите онлайн на Кинопоиске.,8.914,10.0,751574.0,"['драма', 'комедия', 'мелодрама', 'история', 'военный']",True,Венди Файнерман,Роберт Земекис,['США'],142,1994
4,Властелин колец: Возвращение короля,"Повелитель сил тьмы Саурон направляет свою бесчисленную армию под стены Минас-Тирита, крепости Последней Надежды. Он предвкушает близкую победу, но именно это мешает ему заметить две крохотные фигурки — хоббитов, приближающихся к Роковой Горе, где им предстоит уничтожить Кольцо Всевластья.",8.651,10.0,534445.0,"['фэнтези', 'приключения', 'драма']",True,Питер Джексон,Питер Джексон,"['Новая Зеландия', 'США']",201,2003
5,Властелин колец: Братство Кольца,"Сказания о Средиземье — это хроника Великой войны за Кольцо, длившейся не одну тысячу лет. Тот, кто владел Кольцом, получал неограниченную власть, но был обязан служить злу. 

Тихая деревня, где живут хоббиты. Придя на 111-й день рождения к своему старому другу Бильбо Бэггинсу, волшебник Гэндальф начинает вести разговор о кольце, которое Бильбо нашел много лет назад. Это кольцо принадлежало когда-то темному властителю Средиземья Саурону, и оно дает большую власть своему обладателю. Теперь Саурон хочет вернуть себе власть над Средиземьем. Бильбо отдает Кольцо племяннику Фродо, чтобы тот отнёс его к Роковой Горе и уничтожил.",8.599,10.0,590552.0,"['фэнтези', 'приключения', 'драма']",True,Питер Джексон,Питер Джексон,"['Новая Зеландия', 'США']",178,2001
6,Тайна Коко,"Юный музыкант Мигель попадает в мир мертвых. Трогательная история о любви без границ, получившая два «Оскара». Смотрите онлайн на Кинопоиске.",8.695,10.0,576199.0,"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный', 'музыка']",True,Дарла К. Андерсон,Ли Анкрич,['США'],105,2017
7,Властелин колец: Две крепости,"Братство распалось, но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены довериться Голлуму, который взялся провести их к вратам Мордора. Громадная армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается.",8.596,10.0,525667.0,"['фэнтези', 'приключения', 'драма']",True,Питер Джексон,Питер Джексон,"['Новая Зеландия', 'США']",179,2002
8,Назад в будущее,"Безумный ученый и 17-летний оболтус тестируют машину времени, наводя шороху в 1950-х. Классика кинофантастики. Смотрите онлайн на Кинопоиске.",8.641,10.0,572817.0,"['фантастика', 'комедия', 'приключения']",True,Нил Кэнтон,Роберт Земекис,['США'],116,1985
9,Интерстеллар,"Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие, чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.",8.614,10.0,820827.0,"['фантастика', 'драма', 'приключения']",True,Кристофер Нолан,Кристофер Нолан,"['США', 'Великобритания', 'Канада']",169,2014
